CODE,Candidate,Party,City,Percentage,Total Votes,Ballot Boxes,Total Boxes,Time Reported,FirstName,LastName,,,,
VAN,"Stewart, Kennedy",Independent,Vancouver,28.16%,48828,150,150,8:59pm,Stewart,Kennedy,,,,
VAN,"Sim, Ken",NPA,Vancouver,29.12%,49812,150,150,8:59pm,Sim,Ken,,,,
VAN,"Sylvester, Shauna",Independent,Vancouver,21.46%,35537,150,150,8:59pm,Sylvester,Shauna,,,,
VAN,"Young, Wai",Coalition Vancouver,Vancouver,7.25%,11868,150,150,8:59pm,Young,Wai,,,,
VAN,"Bremner, Hector",Yes Vancouver,Vancouver,6.76%,9940,150,150,8:59pm,Bremner,Hector,,,,
VAN,"Harding, Fred",Vancouver First,Vancouver,3.73%,5645,150,150,8:59pm,Harding,Fred,,,,
VAN,"Chen, David",ProVancouver,Vancouver,1.73%,3572,150,150,8:59pm,Chen,David,,,,
VAN,"Cassidy, Sean",,Vancouver,1.04%,1537,150,150,8:59pm,Cassidy,Sean,,,,
VAN,"Fogal, Connie",,Vancouver,0.41%,1436,150,150,8:59pm,Fogal,Connie,,,,
VAN,"Hansen, Mike",,Vancouver,0.21%,949,150,150,8:59pm,Hansen,Mike,,,,
VAN,"Lamarche, Jason",,Vancouver,0.14%,695,150,150,8:59pm,Lamarche,Jason,,,,
VAN,"Rollergirl,",,Vancouver,0.00%,683,150,150,8:59pm,Rollergirl,,,,,
VAN,"Chan, Ping",,Vancouver,0.00%,653,150,150,8:59pm,Chan,Ping,,,,
VAN,"Yano, John",,Vancouver,0.00%,510,150,150,8:59pm,Yano,John,,,,
VAN,"Ly, Tim",,Vancouver,0.00%,346,150,150,8:59pm,Ly,Tim,,,,
VAN,"Kaiser, Sophia",,Vancouver,0.00%,334,150,150,8:59pm,Kaiser,Sophia,,,,
VAN,"Shottha, Satwant",,Vancouver,0.00%,330,150,150,8:59pm,Shottha,Satwant,,,,
VAN,"Massey, Lawrence",,Vancouver,0.00%,233,150,150,8:59pm,Massey,Lawrence,,,,
VAN,"Le Rougetel, Katy",,Vancouver,0.00%,181,150,150,8:59pm,Le Rougetel,Katy,,,,
VAN,"Buday, Gölök",,Vancouver,0.00%,178,150,150,8:59pm,Buday,Gölök,,,,
VAN,"Aubichon, Maynard",,Vancouver,0.00%,141,150,150,8:59pm,Aubichon,Maynard,,,,
